instance_id,bin_capacity,bins_array,method,time_taken
83,122,"[2, 16, 20, 24, 28, 32]",BackTracking,0.00022974999999999385
84,126,"[1, 17, 21, 25, 29, 33]",BackTracking,0.00023024999999999435
84,126,"[5, 13, 21, 25, 29, 33]",BackTracking,0.00023024999999999435
84,126,"[9, 13, 17, 25, 29, 33]",BackTracking,0.00023024999999999435
85,130,"[7, 11, 19, 27, 31, 35]",BackTracking,0.00011554199999999626
85,130,"[7, 15, 19, 23, 31, 35]",BackTracking,0.00011554199999999626
85,130,"[11, 15, 19, 23, 27, 35]",BackTracking,0.00011554199999999626
86,134,[0],BackTracking,0.00011516699999999935
87,138,"[9, 13, 17, 29, 33, 37]",BackTracking,0.00011816599999999594
87,138,"[9, 13, 21, 25, 33, 37]",BackTracking,0.00011816599999999594
87,138,"[9, 17, 21, 25, 29, 37]",BackTracking,0.00011816599999999594
87,138,"[13, 17, 21, 25, 29, 33]",BackTracking,0.00011816599999999594
88,142,"[14, 26, 30, 34, 38]",BackTracking,0.00011495799999999834
88,142,"[18, 22, 30, 34, 38]",BackTracking,0.00011495799999999834
89,146,"[11, 15, 19, 27, 35, 39]",BackTracking,0.0001143749999999999
89,146,"[11, 15, 23, 27, 31, 39]",BackTracking,0.0001143749999999999
89,146,"[11, 19, 23, 27, 31, 35]",BackTracking,0.0001143749999999999
90,150,[0],BackTracking,0.0001142499999999963
91,154,"[13, 17, 21, 25, 37, 41]",BackTracking,0.00011670899999999956
91,154,"[13, 17, 21, 29, 33, 41]",BackTracking,0.00011670899999999956
91,154,"[13, 17, 25, 29, 33, 37]",BackTracking,0.00011670899999999956
92,158,"[14, 30, 34, 38, 42]",BackTracking,0.00011445799999999784
92,158,"[18, 26, 34, 38, 42]",BackTracking,0.00011445799999999784
92,158,"[22, 26, 30, 38, 42]",BackTracking,0.00011445799999999784
93,162,"[15, 19, 23, 27, 35, 43]",BackTracking,0.00011358300000000043
93,162,"[15, 19, 23, 31, 35, 39]",BackTracking,0.00011358300000000043
94,166,[0],BackTracking,0.00011299999999999505
